ID,SITIO,BAIRRO,REGIONAL,MACROZONA,MICROZONA,SCN,STATUS,FINALIDADE,ENDERECO,VIA_SENTIDO,DESCRICAO,DATA_ATIVACAO,DATA_DESATIVACAO,FISCALIZACAO,FAIXAS_VIA,FXSTRAFDIR,FAIXAS_FIS,TEMCONTAGE,INFVELOCID,LONG,LAT
547,AT702,Aldeota,SR 2,,,00167:F,Ativo,Fiscalização,"Rua Padre Valdevino, 919 [L-O]",R. Padre Valdevino [L-O],Meio de quadra,20160501,,Não-metrológico,2,1,1,S,N,"-38,515943","-3,739385"
150,1385182,Aldeota,SR 2,Corredor,Aldeota Sul,00375:F,Inativo,Fiscalização,Av. Heráclito Graça x Rua Ildefonso Albano [L-O],Av. Heráclito Graça [L-O],Cruzamento,20130603,20201211,Misto,2,2,2,S,S,"-38,514246","-3,736801"
538,AT603,Aldeota,SR 2,,,00321:F,Ativo,Fiscalização,"Rua Padre Valdevino, 1713 [L-O]",R. Padre Valdevino [L-O],Meio de quadra,20160413,,Não-metrológico,2,1,1,S,N,"-38,509253","-3,74149"
57,1385110,Aldeota,SR 2,Corredor,Aldeota Sul,00134:B,Inativo,Fiscalização,Rua Padre Valdevino x Av. Barão de Studart [L-O],R. Padre Valdevino [L-O],Cruzamento,20130124,20200222,Misto,2,2,2,S,S,"-38,508768","-3,741667"
537,AT602,Aldeota,SR 2,,,00134:B,Ativo,Fiscalização,"Rua Padre Valdevino, 1801 [L-O]",R. Padre Valdevino [L-O],Meio de quadra,20160413,,Não-metrológico,2,1,1,S,N,"-38,508291","-3,741802"
536,AT601,Aldeota,SR 2,,,00134:B,Ativo,Fiscalização,"Rua Padre Valdevino, 1905 [L-O]",R. Padre Valdevino [L-O],Meio de quadra,20160413,,Não-metrológico,2,1,1,S,N,"-38,50725","-3,742119"
265,TST07,Aldeota,SR 2,Corredor,Aldeota Leste,00100:B,Inativo,Teste,Rua João Carvalho x Av. Barão de Studart [L-O],R. João Carvalho [L-O],Cruzamento,,,Não-metrológico,2,0,0,S,N,"-38,507478","-3,737672"
533,AT506,Aldeota,SR 2,,,00181:B,Ativo,Fiscalização,"Rua Padre Valdevino, 2415 [L-O]",R. Padre Valdevino [L-O],Meio de quadra,20160501,,Não-metrológico,2,1,1,S,N,"-38,504192","-3,743093"
532,AT505,Aldeota,SR 2,,,00181:B,Ativo,Fiscalização,"Rua Padre Valdevino, 2497 [L-O]",R. Padre Valdevino [L-O],Meio de quadra,20160501,,Não-metrológico,2,1,1,S,N,"-38,503149","-3,743421"
266,TST06,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00536:L,Inativo,Teste,Rua Torres Câmara x Rua Silva Paulet [O-L],R. Torres Câmara [O-L],Cruzamento,,,Não-metrológico,2,0,0,S,N,"-38,506016","-3,735943"
530,AT503,Aldeota,SR 2,,,00503:N,Ativo,Fiscalização,"Rua Padre Valdevino, 2645 [L-O]",R. Padre Valdevino [L-O],Meio de quadra,20160501,,Não-metrológico,2,1,1,S,N,"-38,501535","-3,743869"
545,AT502,Aldeota,SR 2,,,00139:F,Ativo,Fiscalização,"Rua Beni de Carvalho, entre Rua Barbosa de Freitas e Av. Desembargador Moreira [L-O]",R. Beni de Carvalho [L-O],Meio de quadra,20160501,,Não-metrológico,2,1,1,S,N,"-38,500325","-3,74426"
544,AT501,Aldeota,SR 2,,,00420:B,Ativo,Fiscalização,"Rua Beni de Carvalho, 159 [L-O]",R. Beni de Carvalho [L-O],Meio de quadra,20160501,,Não-metrológico,2,1,1,S,N,"-38,499248","-3,744626"
