;ITEM;TIPO;DISTRITO;INEP;UNIDADE ESCOLAR;ENDEREÇO;BAIRRO;CEP;lat;lon
380;1;EMTP;I;23067691;ESCOLA MUNICIPAL CRISTO REDENTOR;AV. PASTEUR, 372;CRISTO REDENTOR;60335000;-3.709223747118006;-38.55833685889764
381;7;EMTP;I;23066628;ESCOLA MUNICIPAL CASTELO DE CASTRO;RUA 43, 1531 (CONJUNTO DOS BANCÁRIOS);VILA VELHA;60348340;-3.717897927257181;-38.60059355320434
382;11;EMTP;I;23070021;ESCOLA MUNICIPAL FRANCISCO DOMINGOS DA SILVA;AV. PRESIDENTE CASTELO BRANCO, 4707;BARRA DO CEARÁ;60312060;-3.706275664133177;-38.57429005139242
383;32;EMTP;I;23263318;ESCOLA MUNICIPAL REITOR PEDRO TEIXEIRA BARROSO;AV. FLORÊNCIO DE ALENCAR, 900;BARRA DO CEARÁ;60330055;-3.710368672736108;-38.58605804264251
384;35;EMTP;I;23077450;ESCOLA MUNICIPAL SEBASTIANA ALDIGUERI;RUA DR. THEMBERG, 448;CRISTO REDENTOR;60335480;-3.711980010248709;-38.56405499324392
385;36;EMTP;I;23547987;ESCOLA MUNICIPAL SECRETARIO PAULO PETROLA;RUA MONSENHOR CARNEIRO DA CUNHA, 415;JACARECANGA;60010470;-3.724576921074027;-38.54489454931807
386;37;EMTP;I;23311614;ESCOLA MUNICIPAL TERTULIANO CAMBRAIA;RUA MONSENHOR ROSA, 947;CARLITO PAMPLONA;60310440;-3.712855643032653;-38.55512092207664
387;38;EMTP;I;23256044;ESCOLA MUNICIPAL VIRGILIO TAVORA;AV. MONSENHOR HÉLIO CAMPOS, S/N;CRISTO REDENTOR;60336800;-3.705455218255224;-38.56477107806176
388;41;EMTI;I;23277238;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DEPUTADO ROBERTO MESQUITA;RUA BETA, S/N;VILA VELHA;60349130;-3.713812632570113;-38.60204220975839
389;46;CEI;I;_;CEI MARIA AGLAE GONÇALVES MONTEIRO;RUA CÂNDIDO CASTELO BRANCO, S/N;BARRA DO CEARÁ;60331190;-3.708191433956415;-38.58024409620212
390;48;CEI;I;_;CEI  ALDEIDES REGIS;RUA IRINEU DE SOUSA, 188;CRISTO REDENTOR;60337180;-3.711293615042912;-38.56648739627431
391;49;CEI;I;_;CEI CASIMIRO JOSE DE LIMA FILHO;AV. FRANCISCO SÁ, 6449;BARRA DO CEARÁ;60330878;-3.708954268930952;-38.58176302098754
392;52;CEI;I;_;CEI SECRETARIO PAULO PETROLA;RUA JACINTO DE MATOS, 906;JACARECANGA;60310210;-3.716248237368401;-38.54650991693837
393;54;CEI;I;_;CEI MARIO QUINTANA;RUA TETA, 900;VILA VELHA;60349350;-3.7122056018685816;-38.60412466079106
394;56;CEI;I;_;CEI MARIA ROSELI LIMA MESQUITA;RUA LUIZ GUIMARÃES, 261;FLORESTA;60336305;-3.7226999328841175;-38.57046610417591
